date_key,full_date,day,day_of_week,day_name,week_of_year,month,month_name,quarter,year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,fiscal_year,fiscal_quarter
143,2011-05-23,23,0,Monday,21,5,May,2,2011,0,0,0,0,0,0,0,2012,1
144,2011-05-24,24,1,Tuesday,21,5,May,2,2011,0,0,0,0,0,0,0,2012,1
145,2011-05-25,25,2,Wednesday,21,5,May,2,2011,0,0,0,0,0,0,0,2012,1
146,2011-05-26,26,3,Thursday,21,5,May,2,2011,0,0,0,0,0,0,0,2012,1
147,2011-05-27,27,4,Friday,21,5,May,2,2011,0,0,0,0,0,0,0,2012,1
148,2011-05-28,28,5,Saturday,21,5,May,2,2011,1,0,0,0,0,0,0,2012,1
149,2011-05-29,29,6,Sunday,21,5,May,2,2011,1,0,0,0,0,0,0,2012,1
150,2011-05-30,30,0,Monday,22,5,May,2,2011,0,0,0,0,0,0,0,2012,1
151,2011-05-31,31,1,Tuesday,22,5,May,2,2011,0,0,1,0,0,0,0,2012,1
152,2011-06-01,1,2,Wednesday,22,6,June,2,2011,0,1,0,0,0,0,0,2012,1
153,2011-06-02,2,3,Thursday,22,6,June,2,2011,0,0,0,0,0,0,0,2012,1
154,2011-06-03,3,4,Friday,22,6,June,2,2011,0,0,0,0,0,0,0,2012,1
155,2011-06-04,4,5,Saturday,22,6,June,2,2011,1,0,0,0,0,0,0,2012,1
156,2011-06-05,5,6,Sunday,22,6,June,2,2011,1,0,0,0,0,0,0,2012,1
157,2011-06-06,6,0,Monday,23,6,June,2,2011,0,0,0,0,0,0,0,2012,1
158,2011-06-07,7,1,Tuesday,23,6,June,2,2011,0,0,0,0,0,0,0,2012,1
159,2011-06-08,8,2,Wednesday,23,6,June,2,2011,0,0,0,0,0,0,0,2012,1
160,2011-06-09,9,3,Thursday,23,6,June,2,2011,0,0,0,0,0,0,0,2012,1
161,2011-06-10,10,4,Friday,23,6,June,2,2011,0,0,0,0,0,0,0,2012,1
162,2011-06-11,11,5,Saturday,23,6,June,2,2011,1,0,0,0,0,0,0,2012,1
163,2011-06-12,12,6,Sunday,23,6,June,2,2011,1,0,0,0,0,0,0,2012,1
164,2011-06-13,13,0,Monday,24,6,June,2,2011,0,0,0,0,0,0,0,2012,1
165,2011-06-14,14,1,Tuesday,24,6,June,2,2011,0,0,0,0,0,0,0,2012,1
166,2011-06-15,15,2,Wednesday,24,6,June,2,2011,0,0,0,0,0,0,0,2012,1
167,2011-06-16,16,3,Thursday,24,6,June,2,2011,0,0,0,0,0,0,0,2012,1
168,2011-06-17,17,4,Friday,24,6,June,2,2011,0,0,0,0,0,0,0,2012,1
169,2011-06-18,18,5,Saturday,24,6,June,2,2011,1,0,0,0,0,0,0,2012,1
170,2011-06-19,19,6,Sunday,24,6,June,2,2011,1,0,0,0,0,0,0,2012,1
171,2011-06-20,20,0,Monday,25,6,June,2,2011,0,0,0,0,0,0,0,2012,1
172,2011-06-21,21,1,Tuesday,25,6,June,2,2011,0,0,0,0,0,0,0,2012,1
173,2011-06-22,22,2,Wednesday,25,6,June,2,2011,0,0,0,0,0,0,0,2012,1
174,2011-06-23,23,3,Thursday,25,6,June,2,2011,0,0,0,0,0,0,0,2012,1
175,2011-06-24,24,4,Friday,25,6,June,2,2011,0,0,0,0,0,0,0,2012,1
176,2011-06-25,25,5,Saturday,25,6,June,2,2011,1,0,0,0,0,0,0,2012,1
177,2011-06-26,26,6,Sunday,25,6,June,2,2011,1,0,0,0,0,0,0,2012,1
